Name,Type 1,Type 2,HP,Att,Def,Spe
Trubbish,Poison,,50,50,62,65
Garbodor,Poison,,80,95,82,75
Zorua,Dark,,40,65,40,65
Zoroark,Dark,,60,105,60,105
Minccino,Normal,,55,50,40,75
Cinccino,Normal,,75,95,60,115
Gothita,Psychic,,45,30,50,45
Gothorita,Psychic,,60,45,70,55
Gothitelle,Psychic,,70,55,95,65
Solosis,Psychic,,45,30,40,20
Duosion,Psychic,,65,40,50,30
Reuniclus,Psychic,,110,65,75,30
Ducklett,Water,Flying,62,44,50,55
Swanna,Water,Flying,75,87,63,98
Vanillite,Ice,,36,50,50,44
Vanillish,Ice,,51,65,65,59
Vanilluxe,Ice,,71,95,85,79
Deerling,Normal,Grass,60,60,50,75
Sawsbuck,Normal,Grass,80,100,70,95
Emolga,Electric,Flying,55,75,60,103
Karrablast,Bug,,50,75,45,60
Escavalier,Bug,Steel,70,135,105,20
Foongus,Grass,Poison,69,55,45,15
Amoonguss,Grass,Poison,114,85,70,30
Frillish,Water,Ghost,55,40,50,40
Jellicent,Water,Ghost,100,60,70,60
Alomomola,Water,,165,75,80,65
Joltik,Bug,Electric,50,47,50,65
Galvantula,Bug,Electric,70,77,60,108
Ferroseed,Grass,Steel,44,50,91,10
Ferrothorn,Grass,Steel,74,94,131,20
Klink,Steel,,40,55,70,30
Klang,Steel,,60,80,95,50
Klinklang,Steel,,60,100,115,90
Tynamo,Electric,,35,55,40,60
Eelektrik,Electric,,65,85,70,40
Eelektross,Electric,,85,115,80,50
Elgyem,Psychic,,55,55,55,30
Beheeyem,Psychic,,75,75,75,40
Litwick,Ghost,Fire,50,30,55,20
Lampent,Ghost,Fire,60,40,60,55
Chandelure,Ghost,Fire,60,55,90,80
Axew,Dragon,,46,87,60,57
Fraxure,Dragon,,66,117,70,67
Haxorus,Dragon,,76,147,90,97
Cubchoo,Ice,,55,70,40,40
Beartic,Ice,,95,130,80,50
Cryogonal,Ice,,80,50,50,105
Shelmet,Bug,,50,40,85,25
Accelgor,Bug,,80,70,40,145
Stunfisk,Ground,Electric,109,66,84,32
Galarian Stunfisk,Ground,Steel,109,81,99,32
Mienfoo,Fighting,,45,85,50,65
Mienshao,Fighting,,65,125,60,105
Druddigon,Dragon,,77,120,90,48
Golett,Ground,Ghost,59,74,50,35
Golurk,Ground,Ghost,89,124,80,55
Pawniard,Dark,Steel,45,85,70,60
Bisharp,Dark,Steel,65,125,100,70
Bouffalant,Normal,,95,110,95,55
Rufflet,Normal,Flying,70,83,50,60
Braviary,Normal,Flying,100,123,75,80
Vullaby,Dark,Flying,70,55,75,60
Mandibuzz,Dark,Flying,110,65,105,80
Heatmor,Fire,,85,97,66,65
Durant,Bug,Steel,58,109,112,109
Deino,Dark,Dragon,52,65,50,38
Zweilous,Dark,Dragon,72,85,70,58
Hydreigon,Dark,Dragon,92,105,90,98
Larvesta,Bug,Fire,55,85,55,60
Volcarona,Bug,Fire,85,60,65,100
Cobalion,Steel,Fighting,91,90,129,108
Terrakion,Rock,Fighting,91,129,90,108
Virizion,Grass,Fighting,91,90,72,108
Tornadus,Flying,,79,115,70,111
Tornadus-Therian,Flying,,79,100,80,121
Thundurus,Electric,Flying,79,115,70,111
Thundurus-Therian,Electric,Flying,79,105,70,101
Reshiram,Dragon,Fire,100,120,100,90
Zekrom,Dragon,Electric,100,150,120,90
Landorus,Ground,Flying,89,125,90,101
Landorus-Therian,Ground,Flying,89,145,90,91
Kyurem,Dragon,Ice,125,130,90,95
White Kyurem,Dragon,Ice,125,120,90,95
Black Kyurem,Dragon,Ice,125,170,100,95
Keldeo,Water,Fighting,91,72,90,108
Meloetta,Normal,Psychic,100,77,77,90
Meloetta-Pirouette,Normal,Fighting,100,128,90,128
Genesect,Bug,Steel,71,120,95,99
Chespin,Grass,,56,61,65,38
Quilladin,Grass,,61,78,95,57
Chesnaught,Grass,Fighting,88,107,122,64
Fennekin,Fire,,40,45,40,60
Braixen,Fire,,59,59,58,73
Delphox,Fire,Psychic,75,69,72,104
Froakie,Water,,41,56,40,71
Frogadier,Water,,54,63,52,97
Greninja,Water,Dark,72,95,67,122
Ash-Greninja,Water,Dark,72,145,67,132
Bunnelby,Normal,,38,36,38,57
Diggersby,Normal,Ground,85,56,77,78
Fletchling,Normal,Flying,45,50,43,62
Fletchinder,Fire,Flying,62,73,55,84
Talonflame,Fire,Flying,78,81,71,126
Scatterbug,Bug,,38,35,40,35
Spewpa,Bug,,45,22,60,29
Vivillon,Bug,Flying,80,52,50,89
Litleo,Fire,Normal,62,50,58,72
Pyroar,Fire,Normal,86,68,72,106
Flabébé,Fairy,,44,38,39,42
Floette,Fairy,,54,45,47,52
Florges,Fairy,,78,65,68,75
Skiddo,Grass,,66,65,48,52
Gogoat,Grass,,123,100,62,68
Pancham,Fighting,,67,82,62,43
Pangoro,Fighting,Dark,95,124,78,58
Furfrou,Normal,,75,80,60,102
Espurr,Psychic,,62,48,54,68
Meowstic,Psychic,,74,48,76,104
Honedge,Steel,Ghost,45,80,100,28
Doublade,Steel,Ghost,59,110,150,35
Aegislash Shield Form,Steel,Ghost,50,70,140,60
Aegislash Blade Form,Steel,Ghost,50,140,70,60
Spritzee,Fairy,,78,52,60,23
Aromatisse,Fairy,,101,72,72,29
Swirlix,Fairy,,62,48,66,49
Slurpuff,Fairy,,82,80,86,72
Inkay,Dark,Psychic,53,54,53,45
Malamar,Dark,Psychic,86,92,88,73
Binacle,Rock,Water,42,52,67,50
Barbaracle,Rock,Water,72,105,115,68
Skrelp,Poison,Water,50,60,60,30
Dragalge,Poison,Dragon,65,75,90,44
Clauncher,Water,,50,53,62,44
Clawitzer,Water,,71,73,88,59
Helioptile,Electric,Normal,44,38,33,70
Heliolisk,Electric,Normal,62,55,52,109
Tyrunt,Rock,Dragon,58,89,77,48
Tyrantrum,Rock,Dragon,82,121,119,71
Amaura,Rock,Ice,77,59,50,46
Aurorus,Rock,Ice,123,77,72,58
Sylveon,Fairy,,95,65,65,60
Hawlucha,Fighting,Flying,78,92,75,118
Dedenne,Electric,Fairy,67,58,57,101
Carbink,Rock,Fairy,50,50,150,50
Goomy,Dragon,,45,50,35,40
Sliggoo,Dragon,,68,75,53,60
Goodra,Dragon,,90,100,70,80
Klefki,Steel,Fairy,57,80,91,75
Phantump,Ghost,Grass,43,70,48,38
Trevenant,Ghost,Grass,85,110,76,56
Small Size Pumpkaboo,Ghost,Grass,44,66,70,56
Average Size Pumpkaboo,Ghost,Grass,49,66,70,51
Large Size Pumpkaboo,Ghost,Grass,54,66,70,46
Super Size Pumpkaboo,Ghost,Grass,59,66,70,41
Small Size Gourgeist,Ghost,Grass,55,85,122,99
Average Size Gourgeist,Ghost,Grass,65,90,122,84
Large Size Gourgeist,Ghost,Grass,75,95,122,69
Super Size Gourgeist,Ghost,Grass,85,100,122,54
Bergmite,Ice,,55,69,85,28
Avalugg,Ice,,95,117,184,28
Noibat,Flying,Dragon,40,30,35,55
Noivern,Flying,Dragon,85,70,80,123
Xerneas,Fairy,,126,131,95,99
Yveltal,Dark,Flying,126,131,95,99
Zygarde,Dragon,Ground,108,100,121,95
Zygarde 10%,Dragon,Ground,54,100,71,115
Zygarde Complete,Dragon,Ground,216,100,121,85
Mega Diancie,Rock,Fairy,50,160,110,110
Diancie,Rock,Fairy,50,100,150,50
Hoopa,Psychic,Ghost,80,110,60,70
Hoopa Unbound,Psychic,Dark,80,160,60,80
Volcanion,Fire,Water,80,110,120,70
Rowlet,Grass,Flying,68,55,55,42
Dartrix,Grass,Flying,78,75,75,52
Decidueye,Grass,Ghost,78,107,75,70
Litten,Fire,,45,65,40,70
Torracat,Fire,,65,85,50,90
Incineroar,Fire,Dark,95,115,90,60
Popplio,Water,,50,54,54,40
Brionne,Water,,60,69,69,50
Primarina,Water,Fairy,80,74,74,60
Pikipek,Normal,Flying,35,75,30,65
Trumbeak,Normal,Flying,55,85,50,75
Toucannon,Normal,Flying,80,120,75,60
Yungoos,Normal,,48,70,30,45
Gumshoos,Normal,,88,110,60,45
Grubbin,Bug,,47,62,45,46
Charjabug,Bug,Electric,57,82,95,36
Vikavolt,Bug,Electric,77,70,90,43
Crabrawler,Fighting,,47,82,57,63
Crabominable,Fighting,Ice,97,132,77,43
Oricorio Baile Style,Fire,Flying,75,70,70,93
Oricorio Pom-Pom Style,Electric,Flying,75,70,70,93
Oricorio Pa'u Style,Psychic,Flying,75,70,70,93
Oricorio Sensu Style,Ghost,Flying,75,70,70,93
Cutiefly,Bug,Fairy,40,45,40,84
Ribombee,Bug,Fairy,60,55,60,124
Rockruff,Rock,,45,65,40,60
Lycanroc,Rock,,75,115,65,112
Lycanroc Midnight,Rock,,85,115,75,82
Lycanroc Dusk,Rock,,75,117,65,110
Wishiwashi,Water,,45,20,20,40
Wishiwashi School,Water,,45,140,130,30
Mareanie,Poison,Water,50,53,62,45
Toxapex,Poison,Water,50,63,152,35
Mudbray,Ground,,70,100,70,45
Mudsdale,Ground,,100,125,100,35
Dewpider,Water,Bug,38,40,52,27
Araquanid,Water,Bug,68,70,92,42
Fomantis,Grass,,40,55,35,35
Lurantis,Grass,,70,105,90,45
Morelull,Grass,Fairy,40,35,55,15
Shiinotic,Grass,Fairy,60,45,80,30
Salandit,Poison,Fire,48,44,40,77
Salazzle,Poison,Fire,68,64,60,117
Stufful,Normal,Fighting,70,75,50,50
Bewear,Normal,Fighting,120,125,80,60
Bounsweet,Grass,,42,30,38,32
Steenee,Grass,,52,40,48,62
Tsareena,Grass,,72,120,98,72
Comfey,Fairy,,51,52,90,100
Oranguru,Normal,Psychic,90,60,80,60
Passimian,Fighting,,100,120,90,80
Wimpod,Bug,Water,25,35,40,80
Golisopod,Bug,Water,75,125,140,40
Sandygast,Ghost,Ground,55,55,80,15
Palossand,Ghost,Ground,85,75,110,35
Pyukumuku,Water,,55,60,130,5
Type: Null,Normal,,95,95,95,59
Silvally,Normal,,95,95,95,95
Minior Meteor Form,Rock,Flying,60,60,100,60
Minior Core Form,Rock,Flying,60,100,60,120
Komala,Normal,,65,115,65,65
Turtonator,Fire,Dragon,60,78,135,36
Togedemaru,Electric,Steel,65,98,63,96
Mimikyu,Ghost,Fairy,55,90,80,96
Bruxish,Water,Psychic,68,105,70,92
Drampa,Normal,Dragon,78,60,85,36
Dhelmise,Ghost,Grass,70,131,100,40
Jangmo-o,Dragon,,45,55,65,45
Hakamo-o,Dragon,Fighting,55,75,90,65
Kommo-o,Dragon,Fighting,75,110,125,85
Tapu Koko,Electric,Fairy,70,115,85,130
Tapu Lele,Psychic,Fairy,70,85,75,95
Tapu Bulu,Grass,Fairy,70,130,115,75
Tapu Fini,Water,Fairy,70,75,115,85
Cosmog,Psychic,,43,29,31,37
Cosmoem,Psychic,,43,29,131,37
Solgaleo,Psychic,Steel,137,137,107,97
Lunala,Psychic,Ghost,137,113,89,97
Nihilego,Rock,Poison,109,53,47,103
Buzzwole,Bug,Fighting,107,139,139,79
Pheromosa,Bug,Fighting,71,137,37,151
Xurkitree,Electric,,83,89,71,83
Celesteela,Steel,Flying,97,101,103,61
Kartana,Grass,Steel,59,181,131,109
Guzzlord,Dark,Dragon,223,101,53,43
Necrozma,Psychic,,97,107,101,79
Dusk Mane Necrozma,Psychic,Steel,97,157,127,77
Dawn Wings Necrozma,Psychic,Ghost,97,113,109,77
Ultra Necrozma,Psychic,Dragon,97,167,97,129
Magearna,Steel,Fairy,80,95,115,65
Marshadow,Fighting,Ghost,90,125,80,125
Poipole,Poison,,67,73,67,73
Naganadel,Poison,Dragon,73,73,73,121
Stakataka,Rock,Steel,61,131,211,13
Blacephalon,Fire,Ghost,53,127,53,107
Zeraora,Electric,,88,112,75,143
Meltan,Steel,,46,65,65,34
Melmetal,Steel,,135,143,143,34
Grookey,Grass,,50,65,50,65
Thwackey,Grass,,70,85,70,80
Rillaboom,Grass,,100,125,90,85
Scorbunny,Fire,,50,71,40,69
Raboot,Fire,,65,86,60,94
Cinderace,Fire,,80,116,75,119
Sobble,Water,,50,40,40,70
Drizzile,Water,,65,60,55,90
Inteleon,Water,,70,85,65,120
Skwovet,Normal,,70,55,55,25
Greedent,Normal,,120,95,95,20
Rookidee,Flying,,38,47,35,57
Corvisquire,Flying,,68,67,55,77
Corviknight,Flying,Steel,98,87,105,67
Blipbug,Bug,,25,20,20,45
Dottler,Bug,Psychic,50,35,80,30
Orbeetle,Bug,Psychic,60,45,110,90
Nickit,Dark,,40,28,28,50
Thievul,Dark,,70,58,58,90
Gossifleur,Grass,,40,40,60,10
Eldegoss,Grass,,60,50,90,60
Wooloo,Normal,,42,40,55,48
Dubwool,Normal,,72,80,100,88
Chewtle,Water,,50,64,50,44
Drednaw,Water,Rock,90,115,90,74
Yamper,Electric,,59,45,50,26
Boltund,Electric,,69,90,60,121
Rolycoly,Rock,,30,40,50,30
Carkol,Rock,Fire,80,60,90,50
Coalossal,Rock,Fire,110,80,120,30
Applin,Grass,Dragon,40,40,80,20
Flapple,Grass,Dragon,70,110,80,70
Appletun,Grass,Dragon,110,85,80,30
Silicobra,Ground,,52,57,75,46
Sandaconda,Ground,,72,107,125,71
Cramorant,Flying,Water,70,85,55,85
Arrokuda,Water,,41,63,40,66
Barraskewda,Water,,61,123,60,136
Toxel,Electric,Poison,40,38,35,40
Toxtricity,Electric,Poison,75,98,70,75
Sizzlipede,Fire,Bug,50,65,45,45
Centiskorch,Fire,Bug,100,115,65,65
Clobbopus,Fighting,,50,68,60,32
Grapploct,Fighting,,80,118,90,42
Sinistea,Ghost,,40,45,45,50
Polteageist,Ghost,,60,65,65,70
Hatenna,Psychic,,42,30,45,39
Hattrem,Psychic,,57,40,65,49
Hatterene,Psychic,Fairy,57,90,95,29
Impidimp,Dark,Fairy,45,45,30,50
Morgrem,Dark,Fairy,65,60,45,70
Grimmsnarl,Dark,Fairy,95,120,65,60
Obstagoon,Dark,Normal,93,90,101,95
Perrserker,Steel,,70,110,100,50
Cursola,Ghost,,60,95,50,30
Sirfetch'd,Fighting,,62,135,95,65
Mr. Rime,Ice,Psychic,80,85,75,70
Runerigus,Ground,Ghost,58,95,145,30
Milcery,Fairy,,45,40,40,34
Alcremie,Fairy,,65,60,75,64
Falinks,Fighting,,65,100,100,75
Pincurchin,Electric,,48,101,95,15
Snom,Ice,Bug,30,25,35,20
Frosmoth,Ice,Bug,70,65,60,65
Stonjourner,Rock,,100,125,135,70
Eiscue,Ice,,75,80,110,50
Eiscue Noice Face,Ice,,75,80,70,130
Indeedee,Psychic,Normal,60,65,55,95
Morpeko,Electric,Dark,58,95,58,97
Cufant,Steel,,72,80,49,40
Copperajah,Steel,,122,130,69,30
Dracozolt,Electric,Dragon,90,100,90,75
Arctozolt,Electric,Ice,90,100,90,55
Dracovish,Water,Dragon,90,90,100,75
Arctovish,Water,Ice,90,90,100,55
Duraludon,Steel,Dragon,70,95,115,85
Dreepy,Dragon,Ghost,28,60,30,82
Drakloak,Dragon,Ghost,68,80,50,102
Dragapult,Dragon,Ghost,88,120,75,142
Zacian,Fairy,,92,130,115,138
Zacian Crowned Sword,Fairy,Steel,92,170,115,148
Zamazenta,Fighting,,92,130,115,138
Zamazenta Crowned Shield,Fighting,Steel,92,130,145,128
Eternatus,Poison,Dragon,140,85,95,130
Kubfu,Fighting,,60,90,60,72
Urshifu Rapid Strike Style,Fighting,Water,100,130,100,97
Urshifu Single Strike Style,Fighting,Dark,100,130,100,97
Zarude,Dark,Grass,105,120,105,105
Regieleki,Electric,,80,100,50,200
Regidrago,Dragon,,200,100,50,80
Glastrier,Ice,,100,145,130,30
Spectrier,Ghost,,100,65,60,130
Calyrex,Psychic,Grass,100,80,80,80
Calyrex Ice Rider,Psychic,Ice,100,165,150,50
Calyrex Shadow Rider,Psychic,Ghost,100,85,80,150
